Brand,Phone Model,Current Prices,Old Price,Discounts,description,Ratings,Stars
Apple,Apple NEW Apple,"₦ 20,400","₦ 36,000",43%,Apple NEW Apple Iphone 5 1G RAM 16GB ROM IOS 3G 4.0 Inch 8MP ICloud WIFI GPS Phone,26,4.3
Apple,Apple IPhone 6S,"₦ 74,800","₦ 150,000",50%,Apple IPhone 6S 4.7 Inch 2GB + 64GB 12MP + 5MP 3D Touch 4G LTE Smartphone (Free Gift) – Gold,,
Apple,Apple IPhone 5,"₦ 20,400","₦ 45,999",56%,"Apple IPhone 5 - IOS 16GB 4.0"" 4G Smartphone - 99% New",7,4.6
Apple,Apple IPhone 4s,"₦ 12,000","₦ 41,000",71%,Apple IPhone 4s 3.5Inch -16GB ROM+512MB RAM-8MP-Black(Gift：accessories)(Refurbished),,
Apple,Apple IPhone 5S,"₦ 28,500","₦ 72,000",60%,Apple IPhone 5S 32GB Gold  4G LTE Without Fingerprint (Refurbishment) 4-inch Screen (Gift：accessories),1,1
Apple,Apple IPhone XS,"₦ 340,000","₦ 393,800",14%,"Apple IPhone XS Max (4GB RAM, 64GB ROM) IOS 12 (12MP + 12MP)+7MP 4G Smartphone -  Gold",1,3
Apple,Apple IPhone 5S,"₦ 27,700","₦ 72,000",62%,Apple IPhone 5S 16GB+1GB- Gold- 4G - 4 Inch- 8 MP- Fingerprint Unlock(Gift：accessories)(Refurbished),7,4
Apple,Apple Iphone 5,"₦ 21,200","₦ 56,000",62%,Apple Iphone 5 White 16gb Smart Phone Mobile Phone 4-inch Screen(Refurbished)(Gift：accessories),238,3.9
Apple,"Apple IPhone XS,","₦ 270,000","₦ 275,000",2%,"Apple IPhone XS, 5.8-inch Super Retina Display OLED,Face ID,(64GB, 4GB RAM), INGLE SIM,iOS 13 - Gold",,
Apple,Apple IPhone 7-4.7,"₦ 91,690","₦ 400,000",77%,Apple IPhone 7-4.7 Inch Smartphone 2GB+32GB 12MP Finger Sensor 4G LTE (gift) HD-Gold,2,3.5
Apple,Apple IPhone SE,"₦ 55,500","₦ 260,000",79%,Apple IPhone SE 64GB Pink 4G - Fingerprint Unlock  4-inch Screen (Gift：accessories)(Refurbished）,2,5
Apple,Apple Iphone 5,"₦ 25,000","₦ 63,000",60%,Apple Iphone 5 White 32gb Smart Phone -Mobile Phone 4-inch Screen(Gift：accessories)(Refurbished）,12,3.8
Apple,Apple IPhone 4S,"₦ 2,194,223","₦ 4,388,445",50%,Apple IPhone 4S Apple 4S Classic 3.5-inch Standby / Elderly Black 16g,,
Apple,Apple IPhone 5C,"₦ 28,500","₦ 89,999",68%,Apple IPhone 5C 32GB White 4G -  4-inch Screen (Gift：accessories) Smart Phone(Refurbished）,3,5
Nokia,Nokia C2-05 0.3MP,"₦ 10,800","₦ 19,000",43%,Nokia C2-05 0.3MP Camera Slide Phone Bluetooth GSM 900 /1800,1,5
Apple,Apple IPhone 7-4.7,"₦ 116,900","₦ 400,000",71%,Apple IPhone 7-4.7 Inch Smartphone 2GB+128GB 12MP Finger Sensor 4G LTE (gift) HD-Gold,,
Tecno,"Tecno T901, 2.4inch,","₦ 12,500","₦ 16,500",24%,"Tecno T901, 2.4inch, Support YouTube, Whatsapp, Kaistore,0.3MP+0.3MP Camera With Rear Flash,1900mAh,Black",2,5
Apple,Apple 12 Pro,"₦ 690,000",,,"Apple 12 Pro - 128GB, 6GB RAM, 6.1-Inch,(12MP+12MP+12MP) - Graphite",,
Apple,Apple IPhone 11,"₦ 332,999","₦ 400,000",17%,"Apple IPhone 11 6.1-Inch Liquid Retina LCD (4GB RAM, 64GB ROM) IOS 13, (12MP+12MP)+12MP 4G LTE Smartphone-Nano Sim-GREEN",,
