Brand,Laptop Model,Current Prices,Old Price,Discounts,description,Ratings,Stars
Hp,Hp STREAM 11,"₦ 130,150","₦ 188,000",31%,Hp STREAM 11 INTEL CELERON® 4GB RAM 32GB EMMC WIN 10+32GB FLASH,1,4
Mtk,Mtk 10.1 Inch,"₦ 54,999","₦ 60,000",8%,Mtk 10.1 Inch Android 6.0 Netbook A33 Mini Laptop,4,2.8
Hp,Hp Stream 11,"₦ 137,000","₦ 146,500",6%,Hp Stream 11 Intel Celeron D/C  4GB RAM- 32GB HDD WIN 10+ BAG,,
Hp,Hp Stream 11,"₦ 105,000","₦ 120,000",13%,Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10+ 32GB FLASH,,
TECLAST,TECLAST F15 Laptop,"₦ 170,345","₦ 379,980",55%,TECLAST F15 Laptop 8GB RAM 256 RAM SSD Intel UHD,1,1
Hp,Hp Stream 11,"₦ 130,149","₦ 146,500",11%,Hp Stream 11 Intel Celeron D/C  4GB RAM- 32GB HDD WIN 10+ BAG,1,5
Hp,Hp Stream 11,"₦ 105,000","₦ 125,000",16%,Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10+ 32GB FLASH,,
Hp,Hp (15) 15.6-Inch,"₦ 232,590","₦ 240,000",3%,Hp (15) 15.6-Inch Intel Core -i3 2.0GHz  8GB RAM 1TB HDD Windows 10 + LED Lamp + Free Mouse,1,5
Hp,Hp Notebook -,"₦ 160,000",,,"Hp Notebook - 15- Intel Pentium N3710 Quad Core - 4GB RAM- 500GB HDD- 15.6"" Touch Screen - Win 10",,
Lenovo,Lenovo Ideapad 8th,"₦ 198,500","₦ 225,000",12%,Lenovo Ideapad 8th Gen Intel Core I3 (4GB/1TB) Wins 10+ 32Gb Flash Drive,2,2.5
Mtk,Mtk 10.1inch Detachable,"₦ 75,999","₦ 90,000",16%,Mtk 10.1inch Detachable 2GB+32GB Android Laptop Pc Touch Screen,,
Lenovo,Lenovo Ideapad ,"₦ 183,000",,,Lenovo Ideapad  Intel Celeron 1TB HDD 8GB RAM Win 10+ 32GB Flash,,
Hp,Hp Stream 11,"₦ 105,000","₦ 125,000",16%,Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10+ 32GB FLASH,,
Hp,Hp 15-bs151nia NoteBook,"₦ 160,000",,,"Hp 15-bs151nia NoteBook (Core I3 RAM, 1TB HDD +32gb FLASH DRIVE",,
Lenovo,Lenovo Ideapad Intel,"₦ 225,000",,,Lenovo Ideapad Intel Core I3 (8GB/1TB) Wins 10+ Free Bag,18,4.5
TSTAR,TSTAR Windows 10.1,"₦ 109,500","₦ 150,000",27%,TSTAR Windows 10.1 Tablets 4GB RAM 128GB ROM With Detachable Keyboard,2,4
Mtk,Mtk 10.1inch Detachable,"₦ 75,999","₦ 85,000",11%,Mtk 10.1inch Detachable 2GB+32GB Android Laptop Pc Touch Screen,,
Hp,Hp Envy X360,"₦ 545,000",,,"Hp Envy X360 15 Intel Core I7  10th Gen (12GB RAM,512SSD,32GB Optane Memory) Windows 10 - Silver",,
Hp,Hp Notebook 15,"₦ 243,000","₦ 245,000",1%,"Hp Notebook 15 Intel Core I3 (12GB RAM, 1TB HDD)-Windows 10",,
Hp,Hp Stream 14,"₦ 171,500","₦ 175,000",2%,Hp Stream 14 Intel Celeron 64gb 4gbSSD WLAN& Bluetooth Wins 10,1,4
Hp,Hp 15 Touchscreen,"₦ 248,500","₦ 280,000",11%,"Hp 15 Touchscreen Intel Core I3-(8GB Ram,1TB HDD) Windows 10 ",,
Hp,Hp Pavilion 14,"₦ 299,000",,,Hp Pavilion 14 X360 10th Gen Core I3 (1TB 8GB) Win10 Mouse,,
Hp,Hp Stream 11,"₦ 137,000","₦ 146,500",6%,Hp Stream 11 Intel Celeron D/C  4GB RAM- 32GB HDD WIN 10+ BAG,,
Hp,Hp STREAM 11,"₦ 135,989","₦ 188,000",28%,Hp STREAM 11 INTEL CELERON® 4GB RAM 32GB EMMC WIN 10+32GB FLASH,,
Hp,Hp Stream 11,"₦ 105,000","₦ 125,000",16%,Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10+ 32GB FLASH,,
Hp,Hp ProBook X360,"₦ 205,000",,,Hp ProBook X360 11 Intel Celeron(8GB RAM;128GB SSD) Wins 10 Pro,,
Hp,Hp 250 G6,"₦ 185,000",,,"Hp 250 G6 Core I3 ,500GB HDD 4GB RAM 15.6-Inch Windows 10+32GB Flash Drive",3,4.7
Hp,Hp Stream 11,"₦ 105,000","₦ 115,000",9%,Hp Stream 11 Intel Celeron D/C  2GB RAM- 32GB HDD WIN 10+ BAG,,
Hp,Hp 15 Intel,"₦ 232,000","₦ 260,000",11%,"Hp 15 Intel Core I3 (8gb Ram,1TB Hdd + 32gb Flash Drive +led Lamp ) Windows 10 Laptop",,
Hp,Hp Stream 11,"₦ 139,000","₦ 140,000",1%,"Hp Stream 11 Intel Celeron 32GB 4GB ""11"" Win10-PURPLE",,
Lenovo,Lenovo Intel Celeron,"₦ 140,900","₦ 160,000",12%,"Lenovo Intel Celeron 4gb Ram 64gb Emmc, Wins 10 11.6"" Mini Laptop + Free Mouse",,
Microsoft,Microsoft Surface Pro,"₦ 605,000",,,"Microsoft Surface Pro 6 12.3"" Intel Core-i7 512GB/ 16GB Win10Pro",3,3.7
Hp,Hp Notebook 15,"₦ 212,000",,,Hp Notebook 15 - AMD RYZEN™ (8GB RAM 1TB HDD-WIN 10+ 32GB Flash,,
Hp,Hp Stream Pro,"₦ 157,000","₦ 177,000",11%,"Hp Stream Pro 11 G5 - 11.6"" Celeron 4 GB RAM 64 GB EMMC WIN10",,
Diamond,"Diamond 14.0"" 4GB/500GB","₦ 180,000",,,"Diamond 14.0"" 4GB/500GB Intel Celeron J1900 Windows10 Diamond Laptop",1,1
Hp,Hp STREAM 11,"₦ 137,000","₦ 188,000",27%,Hp STREAM 11 INTEL® CELERON® 4GB RAM 32GB EMMC WIN 10+USB LIGHT,,
10.1inch,10.1inch Detachable 2GB+32GB,"₦ 75,999","₦ 100,000",24%,10.1inch Detachable 2GB+32GB Android Laptop Pc Touch Screen,,
S500,S500 Quad Core,"₦ 45,520","₦ 63,648",28%,S500 Quad Core 7 Inch Android Netbook 1g+8g Mini Computer Android Netbook,,
Hp,Hp Stream 14-intel,"₦ 152,999","₦ 170,449",10%,"Hp Stream 14-intel Celeron,4GB RAM 64GB SSD,Win 10+ HP MOUSE",,
7,7 Inch Tablet,"₦ 22,560","₦ 67,680",67%,7 Inch Tablet A33Wifi Version Tablet High Definiton Screen Tablet Arm+Dsp Dual Core Ips Screen Gravity Sensor,,
Hp,Hp 14- 10th,"₦ 245,000",,,"Hp 14- 10th Gen Intel® Core™ I3- 8GB RAM 1TB HDD 14"" Win 10",,
Lenovo,Lenovo Ideapad 130-15IKB-,"₦ 220,000","₦ 250,000",12%,"Lenovo Ideapad 130-15IKB- Corei3, 4GB Ram, 1TB Hdd, 15.6 Inch  Win 10 & MS Office Suite 2016",,
Hp,Hp Stream 11,"₦ 150,000",,,"Hp Stream 11 Intel Celeron, 4GB RAM- 64GB HDD WIN 10+32GB FLASH",,
10.1inch,10.1inch Detachable 2GB+32GB,"₦ 76,999","₦ 95,000",19%,10.1inch Detachable 2GB+32GB Android Laptop Pc Touch Screen,,
Lenovo,Lenovo Ideapad 330,"₦ 218,000",,,"Lenovo Ideapad 330 15Ikb Intel Corei3, 2.2ghz, 1TB HDD 4GB RAM , Win10, 15.6inch",,
Hp,Hp Stream 11,"₦ 137,000","₦ 146,500",6%,Hp Stream 11 Intel Celeron D/C  4GB RAM- 32GB HDD WIN 10+ BAG,,
Hp,Hp Stream 11,"₦ 140,000",,,Hp Stream 11 Intel Atomx5 4gb Ram 32gb Emmc +HP MOUSE Wins10,,
Hp,Hp Notebook 15,"₦ 208,000",,,Hp Notebook 15 Intel Pentium Quad Core 8GB RAM 1TB HDD WIN 10,,
Hp,Hp Pavilion 15,"₦ 395,000",,,"Hp Pavilion 15 Gaming Intel Core I5-9300h 4gb Nvidia 256GB SSD Ram 8GB RAM, Backlit Keyboard",,
DELL,"DELL INSPIRON 15-3593,10TH","₦ 430,000",,,"DELL INSPIRON 15-3593,10TH GEN CORE I7-1065G7,512GB SSD 16GB RAM,TOUCHSCREEN,WIN 10",,
Hp,Hp Pavilion X360,"₦ 225,000","₦ 245,000",8%,"Hp Pavilion X360 11.6"" Touch Screen Pentium 4GB RAM 128GB SSD",,
Hp,Hp Stream 11,"₦ 105,000","₦ 120,000",13%,Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10+ 32GB FLASH,,
Lenovo,Lenovo INTEL® CELERON®,"₦ 172,999","₦ 198,000",13%,Lenovo INTEL® CELERON® Lenovo 4GB RAM DDR4-1TB HDD WIN 10+USB LIGHT,,
Asus,Asus Laptop Intel,"₦ 200,000",,,"Asus Laptop Intel Core I3 4GB RAM 1TB HDD Win 10 14.1""",1,5
Hp,Hp Notebook 15,"₦ 269,000",,,"Hp Notebook 15 10th Gen Intel Core I3 , 2.1Ghz Up To 4.2Ghz Touchscreen 8GB 1TB  Wins 10",1,4
Hp,Hp 15-BS158CL (2MW32UA),"₦ 260,000",,,Hp 15-BS158CL (2MW32UA) Intel 8th Gen Core I5-8250U 12GB Memory 2TB+32GB Flash Drive+1Year MCAFEE Internet Security,,
Lenovo,Lenovo Ideapad Intel,"₦ 208,000",,,Lenovo Ideapad Intel Core I3 - 8GB RAM -1TB HDD WIN 10 + 32GB Flash,,
Asus,Asus Mini E203,"₦ 160,000","₦ 180,000",11%,"Asus Mini E203 Intel Celeron (500GB HDD 4GB RAM )Wins 10 11.6""",,
Hp,Hp Pavilion X360,"₦ 365,000","₦ 395,000",8%,"Hp Pavilion X360 15 Intel Core I5 TOUCH (16GB RAM, 1TB HDD) 15.6-Inch Wins 10",,
Lenovo,Lenovo Ideapad ,"₦ 183,000",,,Lenovo Ideapad  Intel Celeron 1TB HDD 8GB RAM Win 10+ 32GB Flash,,
Hp,Hp Notebook 15,"₦ 212,000",,,Hp Notebook 15 - AMD RYZEN™ (8GB RAM 1TB HDD-WIN 10+ 32GB Flash,,
Hp,Hp Probook 450-G3,"₦ 250,000",,,Hp Probook 450-G3 W0S86UT#ABA Intel Core I5-6200U 2.3GHz 500gb 4gb Optical Drive 15 Inch Window 7/10Professal-BLACK,,
Hp,Hp Notebook 15,"₦ 220,000","₦ 230,000",4%,Hp Notebook 15 Intel Pentium 8GB RAM 500 HDD Win 10 + HP MOUSE,,
Hp,Hp 15 -,"₦ 185,500",,,"Hp 15 - Bs021ne Intel Core I3-5005U 2.0GHz (4GB SDRAM, 500 GB DD) 15.6-Inch Freedos - Black + Bag",,
Lenovo,Lenovo ThinkPad X1,"₦ 1,600,000","₦ 1,800,000",11%,Lenovo ThinkPad X1 Extreme Gen 2,,
Hp,Hp 15-DY1751:Intel Core,"₦ 300,000",,,"Hp 15-DY1751:Intel Core I5-1035G,1.1GHz,512ssd/8gb,Cam,Blth,Touch,""15""Win10",,
10.1inch,10.1inch Detachable 2GB+32GB,"₦ 75,999","₦ 90,000",16%,10.1inch Detachable 2GB+32GB Android Laptop Pc Touch Screen,,
Hp,Hp Pavilion 15,"₦ 285,000","₦ 300,000",5%,"Hp Pavilion 15 Intel Core I3  8GB,1TB Backlit Keyboard Wins 10",1,5
Asus,Asus ROG G703GX-XS98K,"₦ 1,970,000",,,"Asus ROG G703GX-XS98K Intel Core I9-, 2.9GHz,512GB SSD 32GB,NVidia RTX 2080(8GB),""17, Win10 Pro +3IN1 PRINTER",,
Lenovo,Lenovo Ideapad ,"₦ 183,000",,,Lenovo Ideapad  Intel Celeron 1TB HDD 8GB RAM Win 10+ 32GB Flash,,
Hp,Hp Stream 11,"₦ 158,000",,,"Hp Stream 11 G5 Intel Celeron 64gb,4gb Ram Windows 10 Pro 11.6""",,
DELL,DELL Latitude 3490:Intel,"₦ 279,000",,,"DELL Latitude 3490:Intel Core I5-8250U,1.6GHz,(8GB RAM,500HDD)""14 Win10",,
Hp,Hp Notebook 15,"₦ 234,000","₦ 238,000",2%,"Hp Notebook 15 Intel Core I3 (8GB RAM, 1TB HDD) - WIN 10+ BAG",1,5
Hp,Hp STREAM 11,"₦ 135,989","₦ 188,000",28%,Hp STREAM 11 INTEL® CELERON® 4GB RAM 32GB EMMC WIN 10+USB LIGHT,,
Hp,Hp Notebook 15,"₦ 234,000",,,"Hp Notebook 15 Intel Core I3- 8GB RAM, 1TB HDD-WIN 10- 10TH GEN",,
Mtk,Mtk High Quality,"₦ 54,000","₦ 80,000",33%,Mtk High Quality 10.1 Inch Android 6.0 Netbook Computer Laptop,,
Hp,Hp X360 Core,"₦ 300,000",,,Hp X360 Core I3-8145u 4GB RAM 1TB HDD No Optical Drive Win10,,
Hp,Hp EliteBook 840,"₦ 635,999",,,Hp EliteBook 840 G7 Intel Core I5 16GB RAM 512GB SSD 14-Inch Win 10 + FREE Printer -,,
Hp,Hp Stream 11,"₦ 160,000",,,"Hp Stream 11 Intel Celeron,4GB RAM,64GB,Wins 10 In S Mode",,
Hp,Hp 250 G7,"₦ 234,000",,,"Hp 250 G7 Core I3, 1TB  4GB, Bluetooth Webcam Win 10, Plus Bag.",,
Hp,Hp 14 PAVILION,"₦ 365,000",,,"Hp 14 PAVILION X360 CONVERTIBLE,INTEL CORE I5,1TB,8GB RAM,TOUCH,WIN 10 + Antivirus",,
Hp,Hp 14 -,"₦ 314,999",,,Hp 14 - CORE I5-1035G1- 8GB - 1TB - 14''- Win 10 - Silver,,
Lenovo,Lenovo IdeaPad 3,"₦ 322,500",,,Lenovo IdeaPad 3 15IIL05:Core I5 256ssd/12gb Touch Win10,,
Hp,Hp SPECTRE 15-EB0043DX,"₦ 790,000",,,"Hp SPECTRE 15-EB0043DX X360;Core I7-10TH Gen,16gb RAM,512SSD+32GB Optane,2GB Nvidia,TOUCH,Win 10",,
Hp,Hp STREAM 11,"₦ 137,000","₦ 188,000",27%,Hp STREAM 11 INTEL® CELERON® 4GB RAM 32GB EMMC WIN 10+USB LIGHT,,
Hp,"Hp Stream14-intel Celeron,4GB","₦ 164,000","₦ 190,000",14%,"Hp Stream14-intel Celeron,4GB RAM 64GB SSD,Win 10+ Free Flash",,
Hp,Hp Elitebook 840,"₦ 470,000",,,"Hp Elitebook 840 G5 14"" Win10 PRO- Intel Core I7 2.7GHz - 16GB Ram - 512GB SSD, Silver  7TH GEN 7500U",,
DELL,DELL Inspiron 14,"₦ 178,000",,,"DELL Inspiron 14 Intel Core I3, 4GB RAM/1TB 14'' Win10+32GB FLASH",2,4.5
Hp,Hp ENVY 13-X360,"₦ 660,500",,,"Hp ENVY 13-X360 CORE I7-1165G7, 11TH GEN 8GB RAM,1TB SSD,TOUCH,BACKLIT, FINGERPRINT",,
Hp,Hp Stream 11,"₦ 105,000","₦ 120,000",13%,Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10+ 32GB FLASH,,
Diamond,"Diamond 15.6"" 4GB/500GB","₦ 176,500","₦ 180,000",2%,"Diamond 15.6"" 4GB/500GB Core I3-5005U Windows10 Diamond Laptop",,
